link,number
https://www.instagram.com/p/Cvc6ki4unKa/,1
file:///C:/Users/umaanaflavia/OneDrive/Croch%C3%AA/free%20jakie%20with%20headphones%201.pdf,2
file:///C:/Users/umaanaflavia/OneDrive/Croch%C3%AA/4in1%20flower%20in%20a%20pot.pdf,3
file:///C:/Users/umaanaflavia/OneDrive/Croch%C3%AA/FREE%20PATTERN%20capybara%20INSTA.pdf,4
https://www.instagram.com/p/CvGDMvOLPvi/,5
https://ribblr.com/pattern/no-sew-dumpy-chick-Crochet?,6
https://ribblr.com/pattern/banana-duck-Crochet?,7
https://www.mariskavos.nl/free-red-panda-crochet-pattern/,8
https://www.instagram.com/p/CzgW2rIL44m/,9
file:///C:/Users/umaanaflavia/OneDrive/Croch%C3%AA/CharlottetheChickenPattern.pdf,10
file:///C:/Users/umaanaflavia/OneDrive/Croch%C3%AA/AnglerfishCrochetPattern.pdf,11
https://www.youtube.com/watch?v=JJ53NWc2tOU,12
https://khuccay.com/free-pattern-jackie-the-pirate-mushroom/,13
https://spinayarncrochet.com/blue-lobster-free-crochet-pattern/,14
https://www.instagram.com/p/Cu8-Tr8rHxQ/,15
https://www.instagram.com/p/Cy86j1CRqAS/,16
file:///C:/Users/umaanaflavia/OneDrive/Croch%C3%AA/BabyMyrtle-Revamped.pdf,17
https://ribblr.com/pattern/crabby-Crochet,18
https://www.instagram.com/p/Cy880hPOPNv/,19
https://www.instagram.com/p/CzNDhs_PyBK/,20
file:///C:/Users/umaanaflavia/OneDrive/Croch%C3%AA/BlobfishCrochetPattern.pdf,21
https://www.youtube.com/watch?v=xLc17IkziIA,22
https://www.instagram.com/p/CvXbG5mOFdB/,23
https://www.instagram.com/p/ChaZ_4SL7Za/,24
file:///C:/Users/umaanaflavia/OneDrive/Croch%C3%AA/ChickWithKnife.pdf,25
https://clubcrochet.com/lessons/how-to-crochet-a-triceratops/,26
file:///C:/Users/umaanaflavia/OneDrive/Croch%C3%AA/GrimReaperchunky.pdf,27
https://www.mariskavos.nl/free-pig-amigurumi-pattern/,28
https://ribblr.com/pattern/poppable-mushroom-frog-pattern-crochet?,29
https://www.instagram.com/p/C0G98qmLYHi/,30
https://ribblr.com/pattern/bob-the-chubby-pigeon-Crochet?,31
https://www.instagram.com/p/Ct4VfdjOP2b/,32
https://www.instagram.com/p/CPcyx8rLTx3/,33
https://www.instagram.com/p/CjQije5ux0j/,34
https://www.instagram.com/p/CxRVCe-uA7Q/,35
https://www.instagram.com/p/Cy6GMQgtZ99/,36
file:///C:/Users/umaanaflavia/OneDrive/Croch%C3%AA/Pizza%20Turtle%20Pattern-2.pdf,37
file:///C:/Users/umaanaflavia/OneDrive/Croch%C3%AA/JijiTheCatPattern.pdf,38
https://ribblr.com/pattern/nosew-birthday-cake-friend-Crochet?,39
https://www.instagram.com/p/Cst0V_6rinQ/,40
file:///C:/Users/umaanaflavia/OneDrive/Croch%C3%AA/MushroomDucksCrochetPattern.pdf,41
https://ribblr.com/pattern/free-baby-penguin-crochet-pattern-crochet?,42
https://ribblr.com/pattern/baby-llama-Crochet?,43
https://www.youtube.com/watch?v=O8ONAXqTjSs,44
https://ribblr.com/pattern/chonky-otter-crochet?,45
https://ribblr.com/pattern/baby-sea-otter-crochet-plushie-Crochet?,46
file:///C:/Users/umaanaflavia/OneDrive/Croch%C3%AA/Jakie%20Plushie%20Pattern%20by%20shine.crafts.pdf,47
https://ribblr.com/pattern/frog-in-cauldron-crochet,48
https://www.instagram.com/p/CvFRjwyRpI4/,49
https://www.instagram.com/p/CsgDfcULgkG/,50
https://www.youtube.com/watch?v=Owz_O0iz1gc,51
https://www.instagram.com/p/Cz_9oqSuzAO/,52
https://ribblr.com/pattern/baby-bunny-in-overalls-and-hat-Crochet?,53
https://ribblr.com/pattern/celebration-crustacean-crab-Crochet?,54
https://www.youtube.com/watch?v=SgyCJtZTbwI,55
https://www.instagram.com/p/CxwGFl2MBFw/?img_index=1,56
file:///C:/Users/umaanaflavia/OneDrive/Croch%C3%AA/LottieTheBabyAxoPattern.pdf,57
https://www.instagram.com/p/CrjPdsJuSr7/,58
https://www.instagram.com/p/Ck-xC3Ztp6X/,59
https://www.instagram.com/p/Cw8BaG5Rfbi/,60
https://www.youtube.com/watch?v=ocSZGxDSfRI,61
file:///C:/Users/umaanaflavia/OneDrive/Croch%C3%AA/SharkitoMinigurumiPattern.pdf,62
https://www.instagram.com/p/CzzbJRoO9Ve/,63
https://ribblr.com/pattern/mini-silly-goose-Crochet?,64
https://www.instagram.com/p/CvXZErsObQU/,65
file:///C:/Users/umaanaflavia/OneDrive/Croch%C3%AA/Yetipattern.pdf,66
https://www.youtube.com/watch?v=WM8jHNE91eM,67
file:///C:/Users/umaanaflavia/OneDrive/Croch%C3%AA/UPDATEDBirdsonSwings.pdf,68
https://www.instagram.com/p/Cv1raFztt6E/,69
https://ribblr.com/pattern/zombee-Crochet-1?,70
https://www.youtube.com/watch?v=GKyTjMKKBWY,71
file:///C:/Users/umaanaflavia/OneDrive/Croch%C3%AA/Totoro%20and%20No%20face%20Pattern%20by%20shine.crafts.pdf,72
https://www.instagram.com/p/CuuVWyKuVi4/,73
file:///C:/Users/umaanaflavia/OneDrive/Croch%C3%AA/UpdatedLeggyFroggyPattern-3.pdf,74
https://ribblr.com/pattern/no-sew-chunky-shrimp-Crochet?,75
https://www.instagram.com/p/CzzUZTCOr8d/,76
file:///C:/Users/umaanaflavia/OneDrive/Croch%C3%AA/Goose.pdf,77
file:///C:/Users/umaanaflavia/OneDrive/Croch%C3%AA/JunimoPatternUS.pdf,78
file:///C:/Users/umaanaflavia/OneDrive/Croch%C3%AA/SeththeSeagull.pdf,79
https://www.instagram.com/p/CxfmdP6uvm9/,80
https://www.instagram.com/p/Cz0fBTPtUOr/,81
https://www.instagram.com/p/CpvPlh-tXHK/,82
file:///C:/Users/umaanaflavia/OneDrive/Croch%C3%AA/babie%20goat%20pattern.pdf,83
https://ribblr.com/pattern/duckling-in-hat-Crochet?,84
https://www.instagram.com/p/Ct1YigKugXr/,85
https://www.instagram.com/p/CrgBGV5LZxV/,86
file:///C:/Users/umaanaflavia/OneDrive/Croch%C3%AA/PokieTheHedgehogPattern.pdf,87
file:///C:/Users/umaanaflavia/OneDrive/Croch%C3%AA/UpdatedBabyFroggyPattern-3.pdf,88
https://www.instagram.com/p/CxQDF7xOmF4/,89
https://ribblr.com/pattern/tinyteddy-trio-free-pattern-Crochet?,90
file:///C:/Users/umaanaflavia/OneDrive/Croch%C3%AA/LowSewBearPuppyPatternshine.crafts.pdf,91
https://www.youtube.com/watch?v=N9otW4bpvhA,92
https://www.instagram.com/p/CtzCRnuti8g/,93
https://ribblr.com/pattern/baby-dungaree-cow-crochet?,94
https://www.instagram.com/p/CifcufOOxUC/,95
https://www.youtube.com/watch?v=fQ0QoSlVqFk,96
https://www.instagram.com/p/Cx8LSgNucz6/,97
file:///C:/Users/umaanaflavia/OneDrive/Croch%C3%AA/Piggy.pdf,98
file:///C:/Users/umaanaflavia/OneDrive/Croch%C3%AA/OfSticksandYarn-TeenyTurtleCrochetPattern.pdf,99
https://www.instagram.com/p/CvQlexhuyxE/,100